6A Silkeborgvej,Skåde,24
5
6,3,25,40,54
7,9,21,33,45,57
8,10,25,40
9,0,20,40
10,0,20,40
11,0,20,40
12,0,20,40
13,0,20,40,55
14,9,21,33,43,55
15,7,21,33,45,57
16,7,22,40,55
17,10,25,55
18,25,55
19,25,55
20,25,55
21,25,55
22,25,55
23,25,55
0,25
5
6,25,55
7,25,55
8,25,55
9,20,40
10,0,20,40
11,0,20,40
12,0,20,40
13,0,20,40
14,0,20,40
15,0,20,40
16,0,25,55
17,25,55
18,25,55
19,25,55
20,25,55
21,25,55
22,25,55
23,25,55
0,25
5
6,55
7,25,55
8,25,55
9,25,55
10,25,55
11,25,55
12,25,55
13,25,55
14,25,55
15,25,55
16,25,55
17,25,55
18,25,55
19,25,55
20,25,55
21,25,55
22,25,55
23,25,55
0,25
6A Skåde,Silkeborgvej,24
5,13,57
6,26,41,52
7,2,14,26,38,50
8,4,16,29,49
9,9,29,49
10,9,31,51
11,11,31,49
12,9,29,49
13,9,28,40,52
14,3,15,27,39,51
15,3,15,27,39,52
16,4,16,29,44
17,1,18,41
18,12,42
19,12,42
20,12,42
21,13,43
22,13,43
23,13,43
0
5,43
6,13,43
7,13,43
8,13,43
9,13,32,52
10,12,31,51
11,11,31,51
12,11,31,51
13,11,31,51
14,11,31,51
15,11,31,51
16,11,41
17,11,42
18,12,42
19,12,43
20,13,43
21,13,43
22,13,43
23,13,43
0
5
6,11,43
7,13,43
8,13,43
9,13,42
10,12,42
11,12,41
12,11,41
13,11,41
14,11,41
15,11,41
16,11,41
17,11,42
18,12,42
19,12,43
20,13,43
21,13,43
22,13,43
23,13,43
0
